prop_equal,clause_factor,repetitiveness,sat,algorithm,treewidth,num_variables,prop_deterministic,answer,instance,time,literal_factor
0.86,2.2,0,,dpmc,34,70,0,6.91565e-10,70-2.2-3-0-0-0.86-15,99.66,3
0.46,2.2,0,,dpmc,35,70,0,9.72681e-11,70-2.2-3-0-0-0.46-100,75.48,3
0.05,2.2,0,,dpmc,36,70,0,3.4884e-08,70-2.2-3-0-0-0.05-7,303.71,3
0.39,2.2,0,,c2d,36,70,0,2.356981e-12,70-2.2-3-0-0-0.39-88,75.26,3
0.5,2.2,0,,dpmc,36,70,0,3.15816e-12,70-2.2-3-0-0-0.5-59,81.01,3
0.93,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.93-74,7.3,3
0.1,2.2,0,,d4,34,70,0,,70-2.2-3-0-0-0.1-57,419.09000000000003,3
0.69,2.2,0,,c2d,38,70,0,6.822182e-10,70-2.2-3-0-0-0.69-26,76.03999999999999,3
0.52,2.2,0,,cachet,37,70,0,4.54044e-11,70-2.2-3-0-0-0.52-32,9.6,3
0.39,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.39-58,37.65,3
0.53,2.2,0,,cachet,35,70,0,5.91544e-10,70-2.2-3-0-0-0.53-38,6.31,3
0.83,2.2,0,,cachet,35,70,0,2.74918e-10,70-2.2-3-0-0-0.83-26,5.17,3
0.55,2.2,0,,cachet,35,70,0,1.52096e-10,70-2.2-3-0-0-0.55-80,4.34,3
0.65,2.2,0,,d4,36,70,0,,70-2.2-3-0-0-0.65-1,310.53,3
0.5,2.2,0,,dpmc,36,70,0,2.26841e-10,70-2.2-3-0-0-0.5-94,156.65,3
0.23,2.2,0,,c2d,37,70,0,,70-2.2-3-0-0-0.23-37,309.54,3
0.13,2.2,0,,d4,35,70,0,,70-2.2-3-0-0-0.13-22,323.66,3
0.22,2.2,0,,cachet,36,70,0,7.82663e-14,70-2.2-3-0-0-0.22-30,4.55,3
0.85,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.85-30,9.26,3
0.5,2.2,0,,dpmc,37,70,0,1.95005e-10,70-2.2-3-0-0-0.5-64,353.19,3
0.44,2.2,0,,cachet,37,70,0,1.45593e-09,70-2.2-3-0-0-0.44-60,10.72,3
0.94,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.94-76,12.8,3
0.08,2.2,0,,cachet,34,70,0,1.00082e-12,70-2.2-3-0-0-0.08-35,5.14,3
0.92,2.2,0,,cachet,35,70,0,5.38074e-11,70-2.2-3-0-0-0.92-98,4.91,3
0.94,2.2,0,,cachet,36,70,0,1.3099e-10,70-2.2-3-0-0-0.94-15,4.42,3
0.22,2.2,0,,cachet,35,70,0,3.24546e-10,70-2.2-3-0-0-0.22-78,7.37,3
0.14,2.2,0,,d4,36,70,0,,70-2.2-3-0-0-0.14-30,550.65,3
0.44,2.2,0,,minic2d,38,70,0,0.0,70-2.2-3-0-0-0.44-30,40.09,3
0.74,2.2,0,,c2d,35,70,0,,70-2.2-3-0-0-0.74-89,106.95,3
0.35,2.2,0,,dpmc,34,70,0,1.4274e-11,70-2.2-3-0-0-0.35-8,196.19,3
0.82,2.2,0,,minic2d,37,70,0,0.0,70-2.2-3-0-0-0.82-31,57.27,3
0.3,2.2,0,,dpmc,36,70,0,7.64099e-10,70-2.2-3-0-0-0.3-34,108.68,3
0.19,2.2,0,,dpmc,36,70,0,0,70-2.2-3-0-0-0.19-99,283.11,3
0.2,2.2,0,,cachet,35,70,0,6.25742e-12,70-2.2-3-0-0-0.2-46,18.5,3
0.88,2.2,0,,dpmc,36,70,0,1.21841e-09,70-2.2-3-0-0-0.88-77,135.66,3
0.52,2.2,0,,d4,38,70,0,,70-2.2-3-0-0-0.52-40,373.37,3
0.92,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.92-26,24.12,3
0.43,2.2,0,,cachet,36,70,0,7.61224e-11,70-2.2-3-0-0-0.43-78,4.77,3
0.31,2.2,0,,d4,35,70,0,2.024074e-10,70-2.2-3-0-0-0.31-37,52.32,3
0.25,2.2,0,,d4,35,70,0,1.249316e-12,70-2.2-3-0-0-0.25-47,121.44,3
0.79,2.2,0,,dpmc,35,70,0,7.98795e-11,70-2.2-3-0-0-0.79-66,230.17000000000002,3
0.56,2.2,0,,c2d,35,70,0,3.415332e-11,70-2.2-3-0-0-0.56-61,35.7,3
0.29,2.2,0,,c2d,37,70,0,1.822375e-09,70-2.2-3-0-0-0.29-96,76.83,3
0.65,2.2,0,,cachet,32,70,0,1.37989e-10,70-2.2-3-0-0-0.65-94,2.48,3
0.12,2.2,0,,dpmc,36,70,0,0,70-2.2-3-0-0-0.12-22,277.29,3
0.39,2.2,0,,c2d,36,70,0,5.186671e-10,70-2.2-3-0-0-0.39-24,103.63,3
0.74,2.2,0,,c2d,37,70,0,7.115993e-10,70-2.2-3-0-0-0.74-3,109.69,3
0.46,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.46-73,39.6,3
0.61,2.2,0,,cachet,39,70,0,1.21126e-11,70-2.2-3-0-0-0.61-70,16.38,3
