repetitiveness,sat,prop_equal,prop_deterministic,treewidth,literal_factor,clause_factor,instance
0.86,0,0,0,3,2,1.7677669529663689,100-1.7677669529663689-2-0.86-0-0-6
0.96,1,0,0,8,4,0.8838834764831844,100-0.8838834764831844-4-0.96-0-0-4
0.75,1,0,0,17,5,0.625,100-0.625-5-0.75-0-0-2
0.43,1,0,0,2,2,0.4419417382415922,100-0.4419417382415922-2-0.43-0-0-9
0.28,1,0,0,71,4,3.5355339059327378,100-3.5355339059327378-4-0.28-0-0-9
0.98,0,0,0,2,2,10.0,100-10.0-2-0.98-0-0-10
0.61,0,0,0,5,2,1.7677669529663689,100-1.7677669529663689-2-0.61-0-0-10
0.22,1,0,0,16,3,0.8838834764831844,100-0.8838834764831844-3-0.22-0-0-4
0.83,0,0,0,1,1,7.0710678118654755,100-7.0710678118654755-1-0.83-0-0-3
0.59,0,0,0,68,3,7.0710678118654755,100-7.0710678118654755-3-0.59-0-0-10
0.38,0,0,0,80,3,10.0,100-10.0-3-0.38-0-0-7
0.54,1,0,0,4,3,0.625,100-0.625-3-0.54-0-0-4
0.09,1,0,0,47,4,1.25,100-1.25-4-0.09-0-0-1
0.37,0,0,0,37,2,5.0,100-5.0-2-0.37-0-0-8
0.41,0,0,0,1,1,0.625,100-0.625-1-0.41-0-0-6
0.97,0,0,0,1,1,1.25,100-1.25-1-0.97-0-0-2
0.83,1,0,0,36,5,1.25,100-1.25-5-0.83-0-0-3
0.32,0,0,0,1,1,0.625,100-0.625-1-0.32-0-0-5
0.47,0,0,0,1,1,5.0,100-5.0-1-0.47-0-0-9
0.41,1,0,0,2,2,0.4419417382415922,100-0.4419417382415922-2-0.41-0-0-1
0.24,1,0,0,82,4,5.0,100-5.0-4-0.24-0-0-7
0.99,0,0,0,1,1,3.5355339059327378,100-3.5355339059327378-1-0.99-0-0-3
0.23,0,0,0,12,2,1.7677669529663689,100-1.7677669529663689-2-0.23-0-0-5
0.02,0,0,0,1,1,5.0,100-5.0-1-0.02-0-0-4
0.08,0,0,0,7,2,1.25,100-1.25-2-0.08-0-0-1
0.3,1,0,0,36,3,1.7677669529663689,100-1.7677669529663689-3-0.3-0-0-3
0.66,0,0,0,1,1,14.142135623730951,100-14.142135623730951-1-0.66-0-0-5
0.88,0,0,0,3,2,2.5,100-2.5-2-0.88-0-0-1
0.85,1,0,0,11,3,1.7677669529663689,100-1.7677669529663689-3-0.85-0-0-8
0.24,0,0,0,86,3,14.142135623730951,100-14.142135623730951-3-0.24-0-0-10
0.26,0,0,0,92,4,14.142135623730951,100-14.142135623730951-4-0.26-0-0-3
0.98,0,0,0,9,3,3.5355339059327378,100-3.5355339059327378-3-0.98-0-0-10
0.67,1,0,0,22,3,1.7677669529663689,100-1.7677669529663689-3-0.67-0-0-4
0.5,1,0,0,20,4,0.625,100-0.625-4-0.5-0-0-10
0.36,0,0,0,1,1,10.0,100-10.0-1-0.36-0-0-5
0.28,1,0,0,59,3,3.5355339059327378,100-3.5355339059327378-3-0.28-0-0-7
0.65,1,0,0,8,3,0.8838834764831844,100-0.8838834764831844-3-0.65-0-0-9
0.84,0,0,0,53,3,7.0710678118654755,100-7.0710678118654755-3-0.84-0-0-2
0.29,1,0,0,7,2,1.25,100-1.25-2-0.29-0-0-4
0.22,1,0,0,11,4,0.4419417382415922,100-0.4419417382415922-4-0.22-0-0-5
0.55,1,0,0,41,5,0.8838834764831844,100-0.8838834764831844-5-0.55-0-0-4
0.7,0,0,0,1,1,1.7677669529663689,100-1.7677669529663689-1-0.7-0-0-7
0.05,1,0,0,13,4,0.4419417382415922,100-0.4419417382415922-4-0.05-0-0-1
0.47,1,0,0,16,4,0.625,100-0.625-4-0.47-0-0-4
0.33,0,0,0,1,1,10.0,100-10.0-1-0.33-0-0-6
0.78,1,0,0,6,4,0.4419417382415922,100-0.4419417382415922-4-0.78-0-0-6
0.42,1,0,0,26,5,0.625,100-0.625-5-0.42-0-0-6
0.1,0,0,0,47,2,5.0,100-5.0-2-0.1-0-0-4
0.14,0,0,0,76,3,7.0710678118654755,100-7.0710678118654755-3-0.14-0-0-5
0.51,0,0,0,1,1,0.4419417382415922,100-0.4419417382415922-1-0.51-0-0-2
0.95,0,0,0,76,4,10.0,100-10.0-4-0.95-0-0-3
0.62,0,0,0,85,4,10.0,100-10.0-4-0.62-0-0-6
0.9,1,0,0,28,5,1.25,100-1.25-5-0.9-0-0-10
0.77,1,0,0,86,5,7.0710678118654755,100-7.0710678118654755-5-0.77-0-0-9
0.88,1,0,0,36,4,2.5,100-2.5-4-0.88-0-0-3
0.06,0,0,0,17,2,1.7677669529663689,100-1.7677669529663689-2-0.06-0-0-2
0.14,1,0,0,82,5,3.5355339059327378,100-3.5355339059327378-5-0.14-0-0-7
0.01,1,0,0,83,4,5.0,100-5.0-4-0.01-0-0-5
0.46,1,0,0,15,4,0.625,100-0.625-4-0.46-0-0-2
0.72,1,0,0,18,3,1.7677669529663689,100-1.7677669529663689-3-0.72-0-0-6
0.24,0,0,0,1,1,14.142135623730951,100-14.142135623730951-1-0.24-0-0-10
0.33,1,0,0,93,5,10.0,100-10.0-5-0.33-0-0-3
0.1,0,0,0,1,1,3.5355339059327378,100-3.5355339059327378-1-0.1-0-0-3
0.52,0,0,0,3,2,0.8838834764831844,100-0.8838834764831844-2-0.52-0-0-9
0.01,1,0,0,29,5,0.4419417382415922,100-0.4419417382415922-5-0.01-0-0-6
0.7,0,0,0,89,4,14.142135623730951,100-14.142135623730951-4-0.7-0-0-2
0.56,1,0,0,49,4,1.7677669529663689,100-1.7677669529663689-4-0.56-0-0-1
1.0,0,0,0,1,1,10.0,100-10.0-1-1.0-0-0-4
0.24,1,0,0,28,3,1.25,100-1.25-3-0.24-0-0-6
0.42,1,0,0,54,4,1.7677669529663689,100-1.7677669529663689-4-0.42-0-0-1
0.99,0,0,0,2,2,3.5355339059327378,100-3.5355339059327378-2-0.99-0-0-9
0.68,0,0,0,16,2,3.5355339059327378,100-3.5355339059327378-2-0.68-0-0-3
0.77,0,0,0,1,1,5.0,100-5.0-1-0.77-0-0-8
0.19,0,0,0,83,3,10.0,100-10.0-3-0.19-0-0-1
0.69,1,0,0,19,3,1.7677669529663689,100-1.7677669529663689-3-0.69-0-0-2
0.85,0,0,0,64,3,10.0,100-10.0-3-0.85-0-0-6
0.88,0,0,0,1,1,2.5,100-2.5-1-0.88-0-0-9
0.68,1,0,0,81,5,5.0,100-5.0-5-0.68-0-0-8
0.49,1,0,0,75,4,5.0,100-5.0-4-0.49-0-0-3
0.45,1,0,0,7,3,0.625,100-0.625-3-0.45-0-0-10
0.85,0,0,0,1,1,5.0,100-5.0-1-0.85-0-0-5
0.26,0,0,0,1,1,0.4419417382415922,100-0.4419417382415922-1-0.26-0-0-2
0.66,1,0,0,94,5,14.142135623730951,100-14.142135623730951-5-0.66-0-0-4
0.63,1,0,0,94,5,14.142135623730951,100-14.142135623730951-5-0.63-0-0-5
0.09,1,0,0,30,3,1.25,100-1.25-3-0.09-0-0-10
0.87,1,0,0,33,5,1.25,100-1.25-5-0.87-0-0-6
0.28,0,0,0,67,2,14.142135623730951,100-14.142135623730951-2-0.28-0-0-8
0.16,1,0,0,91,5,7.0710678118654755,100-7.0710678118654755-5-0.16-0-0-7
0.66,0,0,0,1,1,3.5355339059327378,100-3.5355339059327378-1-0.66-0-0-4
