instance,exact,approximate
70-3.1-3-0.33-0-0-21,37,39
70-4.3-3-0.0-0-0-119,48,50
70-1.0-3-0.48-0-0-10,8,8
70-1.0-3-0.11-0-0-64,15,15
70-1.0-3-0.46-0-0-41,11,12
70-4.0-3-0.2-0-0-30,43,44
70-1.0-3-0.14-0-0-42,14,15
70-4.0-3-0.42-0-0-41,39,39
70-1.3-3-0.44-0-0-41,18,21
70-2.2-3-0.34-0-0-41,28,29
70-1.0-3-0.05-0-0-12,18,19
70-1.6-3-0.1-0-0-51,27,28
70-4.0-3-0.04-0-0-30,45,46
70-1.0-3-0.4-0-0-53,13,14
70-1.0-3-0.05-0-0-52,15,15
70-1.0-3-0.12-0-0-92,16,16
70-2.5-3-0.3-0-0-100,33,35
70-4.0-3-0.12-0-0-31,44,46
70-4.0-3-0.32-0-0-30,39,40
70-1.0-3-0.22-0-0-63,13,14
70-2.2-3-0.22-0-0-41,31,33
70-3.1-3-0.41-0-0-1,35,36
70-3.4-3-0.11-0-0-40,42,44
70-2.5-3-0.11-0-0-100,35,37
70-1.3-3-0.5-0-0-100,15,16
70-1.0-3-0.3-0-0-100,14,15
70-4.3-3-0.11-0-0-100,45,47
70-1.6-3-0.43-0-0-30,19,21
70-4.0-3-0.22-0-0-110,44,45
70-1.3-3-0.13-0-0-90,21,22
70-1.0-3-0.24-0-0-40,13,14
70-2.5-3-0.21-0-0-31,34,35
70-2.2-3-0.21-0-0-52,32,34
70-4.0-3-0.32-0-0-121,41,43
70-4.0-3-0.22-0-0-60,42,45
70-3.7-3-0.49-0-0-54,35,35
70-1.6-3-0.03-0-0-50,27,30
70-4.3-3-0.21-0-0-100,44,46
70-1.3-3-0.24-0-0-31,20,22
70-1.0-3-0.04-0-0-33,16,17
70-1.0-3-0.42-0-0-44,12,12
70-1.0-3-0.12-0-0-63,14,16
70-1.3-3-0.36-0-0-10,20,22
70-1.0-3-0.13-0-0-3,16,16
70-2.2-3-0.23-0-0-80,30,30
70-1.3-3-0.05-0-0-31,20,22
70-4.0-3-0.44-0-0-110,40,43
70-1.0-3-0.33-0-0-13,14,16
70-1.6-3-0.13-0-0-20,24,26
70-1.6-3-0.31-0-0-61,23,25
70-1.6-3-0.21-0-0-11,25,27
70-1.0-3-0.5-0-0-22,11,11
70-2.2-3-0.34-0-0-51,28,30
70-1.3-3-0.25-0-0-11,18,18
70-1.0-3-0.04-0-0-82,18,19
70-1.6-3-0.14-0-0-1,25,27
70-1.0-3-0.0-0-0-55,19,20
70-2.2-3-0.02-0-0-90,35,37
70-2.2-3-0.04-0-0-50,33,36
70-1.0-3-0.44-0-0-91,13,14
70-1.3-3-0.0-0-0-43,21,24
70-1.6-3-0.04-0-0-10,25,26
70-2.5-3-0.42-0-0-100,31,33
70-1.3-3-0.24-0-0-21,20,20
70-2.2-3-0.24-0-0-30,29,30
70-4.3-3-0.0-0-0-20,47,48
70-3.1-3-0.01-0-0-51,41,44
70-2.5-3-0.01-0-0-21,38,40
70-2.2-3-0.1-0-0-2,32,33
70-1.0-3-0.31-0-0-24,11,12
70-3.1-3-0.24-0-0-50,37,40
70-1.3-3-0.02-0-0-2,22,23
70-1.0-3-0.32-0-0-43,12,12
70-1.3-3-0.36-0-0-60,16,16
70-1.3-3-0.23-0-0-90,19,20
70-1.0-3-0.31-0-0-21,13,13
70-1.6-3-0.23-0-0-20,22,23
70-1.3-3-0.23-0-0-21,19,20
70-2.2-3-0.41-0-0-72,26,27
70-4.0-3-0.02-0-0-50,45,48
70-4.0-3-0.21-0-0-111,41,43
70-1.0-3-0.37-0-0-31,13,14
70-1.0-3-0.41-0-0-24,13,14
70-1.6-3-0.24-0-0-100,26,29
70-1.0-3-0.04-0-0-62,19,20
70-1.3-3-0.16-0-0-60,19,20
70-3.1-3-0.04-0-0-70,39,43
70-2.5-3-0.31-0-0-21,31,33
