instance,exact,approximate
70-2.2-3-0.45-0-0-70,25,26
70-4.0-3-0.4-0-0-50,38,41
70-3.4-3-0.0-0-0-70,44,46
70-3.4-3-0.13-0-0-55,41,42
70-2.5-3-0.31-0-0-20,30,31
70-4.0-3-0.32-0-0-60,39,40
70-4.0-3-0.1-0-0-31,45,47
70-1.3-3-0.44-0-0-90,16,16
70-3.1-3-0.01-0-0-90,42,43
70-2.2-3-0.45-0-0-100,26,27
70-3.1-3-0.44-0-0-70,33,36
70-4.3-3-0.1-0-0-100,46,47
70-1.6-3-0.04-0-0-20,26,26
70-4.0-3-0.32-0-0-120,44,47
70-1.0-3-0.26-0-0-11,14,14
70-2.2-3-0.33-0-0-11,28,29
70-1.6-3-0.01-0-0-71,27,29
70-1.0-3-0.11-0-0-54,15,15
70-1.0-3-0.5-0-0-81,10,11
70-2.2-3-0.05-0-0-30,33,35
70-1.0-3-0.42-0-0-31,11,11
70-2.5-3-0.11-0-0-80,32,34
70-2.2-3-0.04-0-0-70,33,34
70-4.0-3-0.32-0-0-110,43,44
70-2.2-3-0.3-0-0-31,27,29
70-4.0-3-0.3-0-0-120,42,43
70-2.5-3-0.0-0-0-11,37,39
70-1.3-3-0.01-0-0-3,22,25
70-2.2-3-0.2-0-0-90,32,34
70-1.3-3-0.03-0-0-2,23,24
70-4.0-3-0.1-0-0-101,44,46
70-1.0-3-0.21-0-0-93,15,16
70-1.3-3-0.34-0-0-90,18,18
70-1.0-3-0.16-0-0-42,16,16
70-3.1-3-0.14-0-0-70,40,40
70-4.0-3-0.13-0-0-50,45,47
70-4.0-3-0.11-0-0-90,44,46
70-3.1-3-0.32-0-0-1,35,38
70-4.0-3-0.2-0-0-111,44,44
70-4.3-3-0.11-0-0-220,46,48
70-1.0-3-0.46-0-0-2,10,10
70-1.0-3-0.44-0-0-33,12,13
70-2.2-3-0.12-0-0-71,31,33
70-4.0-3-0.02-0-0-11,45,47
70-4.0-3-0.03-0-0-10,44,45
