literal_factor,algorithm,clause_factor,prop_equal,treewidth,prop_deterministic,num_variables,answer,instance,time,sat,repetitiveness
3,c2d,2.2,0,37,0.49,70,0.0,70-2.2-3-0-0.49-0-68,33.46,,0
3,dpmc,2.2,0,36,0.3,70,0,70-2.2-3-0-0.3-0-41,1.96,,0
3,d4,2.2,0,34,0.61,70,,70-2.2-3-0-0.61-0-82,142.71,,0
3,dpmc,2.2,0,35,0.81,70,0,70-2.2-3-0-0.81-0-57,0.07,,0
3,cachet,2.2,0,35,0.47,70,0,70-2.2-3-0-0.47-0-85,7.47,,0
3,dpmc,2.2,0,37,0.8,70,0,70-2.2-3-0-0.8-0-41,0.08,,0
3,c2d,2.2,0,37,0.15,70,,70-2.2-3-0-0.15-0-73,267.97,,0
3,c2d,2.2,0,36,0.35,70,0.0,70-2.2-3-0-0.35-0-18,45.94,,0
3,minic2d,2.2,0,36,0.12,70,0.0,70-2.2-3-0-0.12-0-94,37.02,,0
3,c2d,2.2,0,36,0.77,70,0.0,70-2.2-3-0-0.77-0-36,33.23,,0
3,minic2d,2.2,0,35,0.71,70,0.0,70-2.2-3-0-0.71-0-31,24.03,,0
3,minic2d,2.2,0,33,0.84,70,0.0,70-2.2-3-0-0.84-0-32,2.08,,0
3,dpmc,2.2,0,35,1.0,70,0,70-2.2-3-0-1.0-0-93,0.04,1,0
3,d4,2.2,0,34,0.43,70,0.0,70-2.2-3-0-0.43-0-28,72.01,,0
3,dpmc,2.2,0,37,0.28,70,0,70-2.2-3-0-0.28-0-60,34.25,,0
3,dpmc,2.2,0,31,0.13,70,0,70-2.2-3-0-0.13-0-81,2.41,,0
3,d4,2.2,0,35,0.71,70,0.0,70-2.2-3-0-0.71-0-80,52.51,,0
3,minic2d,2.2,0,36,0.24,70,0.0,70-2.2-3-0-0.24-0-53,11.08,,0
3,dpmc,2.2,0,36,0.24,70,0,70-2.2-3-0-0.24-0-96,9.67,,0
3,d4,2.2,0,38,0.23,70,,70-2.2-3-0-0.23-0-93,538.52,,0
3,cachet,2.2,0,36,0.41,70,0,70-2.2-3-0-0.41-0-26,3.49,,0
3,dpmc,2.2,0,39,0.4,70,0,70-2.2-3-0-0.4-0-3,22.88,,0
3,d4,2.2,0,35,0.31,70,0.0,70-2.2-3-0-0.31-0-89,45.02,,0
3,minic2d,2.2,0,37,0.26,70,0.0,70-2.2-3-0-0.26-0-76,4.21,,0
3,minic2d,2.2,0,34,0.19,70,0.0,70-2.2-3-0-0.19-0-44,9.65,,0
3,minic2d,2.2,0,36,0.34,70,0.0,70-2.2-3-0-0.34-0-28,11.28,,0
3,dpmc,2.2,0,38,0.37,70,0,70-2.2-3-0-0.37-0-90,34.48,,0
3,minic2d,2.2,0,36,0.37,70,0.0,70-2.2-3-0-0.37-0-98,12.4,,0
3,dpmc,2.2,0,36,0.44,70,0,70-2.2-3-0-0.44-0-53,0.27,,0
3,d4,2.2,0,36,0.28,70,,70-2.2-3-0-0.28-0-52,208.61,,0
3,dpmc,2.2,0,36,0.24,70,1.29658e-12,70-2.2-3-0-0.24-0-48,6.49,,0
3,cachet,2.2,0,36,0.51,70,0,70-2.2-3-0-0.51-0-12,10.55,,0
3,c2d,2.2,0,34,0.82,70,0.0,70-2.2-3-0-0.82-0-40,25.77,,0
3,cachet,2.2,0,36,0.48,70,0,70-2.2-3-0-0.48-0-5,4.3,,0
